kemendagri_kode_provinsi;kemendagri_nama_provinsi;kemendagri_kode_kabupaten_kota;kemendagri_nama_kabupaten_kota;tahun;status_idm;jumlah;satuan;
11;Aceh;11.05;Kabupaten Aceh Barat;2025;Berkembang;188;Desa;
11;Aceh;11.05;Kabupaten Aceh Barat;2025;Maju;58;Desa;
11;Aceh;11.05;Kabupaten Aceh Barat;2025;Mandiri;27;Desa;
11;Aceh;11.05;Kabupaten Aceh Barat;2025;Sangat Tertinggal;2;Desa;
11;Aceh;11.05;Kabupaten Aceh Barat;2025;Tertinggal;46;Desa;
11;Aceh;11.12;Kabupaten Aceh Barat Daya;2025;Berkembang;86;Desa;
11;Aceh;11.12;Kabupaten Aceh Barat Daya;2025;Maju;48;Desa;
11;Aceh;11.12;Kabupaten Aceh Barat Daya;2025;Mandiri;9;Desa;
11;Aceh;11.12;Kabupaten Aceh Barat Daya;2025;Sangat Tertinggal;0;Desa;
11;Aceh;11.12;Kabupaten Aceh Barat Daya;2025;Tertinggal;9;Desa;
11;Aceh;11.06;Kabupaten Aceh Besar;2025;Berkembang;291;Desa;
11;Aceh;11.06;Kabupaten Aceh Besar;2025;Maju;235;Desa;
11;Aceh;11.06;Kabupaten Aceh Besar;2025;Mandiri;71;Desa;
11;Aceh;11.06;Kabupaten Aceh Besar;2025;Sangat Tertinggal;0;Desa;
11;Aceh;11.06;Kabupaten Aceh Besar;2025;Tertinggal;6;Desa;
11;Aceh;11.14;Kabupaten Aceh Jaya;2025;Berkembang;115;Desa;
11;Aceh;11.14;Kabupaten Aceh Jaya;2025;Maju;26;Desa;
11;Aceh;11.14;Kabupaten Aceh Jaya;2025;Mandiri;12;Desa;
11;Aceh;11.14;Kabupaten Aceh Jaya;2025;Sangat Tertinggal;0;Desa;
11;Aceh;11.14;Kabupaten Aceh Jaya;2025;Tertinggal;19;Desa;
11;Aceh;11.01;Kabupaten Aceh Selatan;2025;Berkembang;160;Desa;
11;Aceh;11.01;Kabupaten Aceh Selatan;2025;Maju;34;Desa;
11;Aceh;11.01;Kabupaten Aceh Selatan;2025;Mandiri;13;Desa;
11;Aceh;11.01;Kabupaten Aceh Selatan;2025;Sangat Tertinggal;8;Desa;
11;Aceh;11.01;Kabupaten Aceh Selatan;2025;Tertinggal;45;Desa;
11;Aceh;11.10;Kabupaten Aceh Singkil;2025;Berkembang;43;Desa;
11;Aceh;11.10;Kabupaten Aceh Singkil;2025;Maju;37;Desa;
11;Aceh;11.10;Kabupaten Aceh Singkil;2025;Mandiri;13;Desa;
11;Aceh;11.10;Kabupaten Aceh Singkil;2025;Sangat Tertinggal;5;Desa;
11;Aceh;11.10;Kabupaten Aceh Singkil;2025;Tertinggal;18;Desa;
11;Aceh;11.16;Kabupaten Aceh Tamiang;2025;Berkembang;80;Desa;
11;Aceh;11.16;Kabupaten Aceh Tamiang;2025;Maju;74;Desa;
11;Aceh;11.16;Kabupaten Aceh Tamiang;2025;Mandiri;40;Desa;
11;Aceh;11.16;Kabupaten Aceh Tamiang;2025;Sangat Tertinggal;0;Desa;
11;Aceh;11.16;Kabupaten Aceh Tamiang;2025;Tertinggal;21;Desa;
11;Aceh;11.04;Kabupaten Aceh Tengah;2025;Berkembang;131;Desa;
11;Aceh;11.04;Kabupaten Aceh Tengah;2025;Maju;76;Desa;
11;Aceh;11.04;Kabupaten Aceh Tengah;2025;Mandiri;82;Desa;
11;Aceh;11.04;Kabupaten Aceh Tengah;2025;Sangat Tertinggal;0;Desa;
11;Aceh;11.04;Kabupaten Aceh Tengah;2025;Tertinggal;6;Desa;
11;Aceh;11.02;Kabupaten Aceh Tenggara;2025;Berkembang;157;Desa;
11;Aceh;11.02;Kabupaten Aceh Tenggara;2025;Maju;209;Desa;
11;Aceh;11.02;Kabupaten Aceh Tenggara;2025;Mandiri;12;Desa;
11;Aceh;11.02;Kabupaten Aceh Tenggara;2025;Sangat Tertinggal;0;Desa;
11;Aceh;11.02;Kabupaten Aceh Tenggara;2025;Tertinggal;7;Desa;
11;Aceh;11.03;Kabupaten Aceh Timur;2025;Berkembang;236;Desa;
11;Aceh;11.03;Kabupaten Aceh Timur;2025;Maju;209;Desa;
11;Aceh;11.03;Kabupaten Aceh Timur;2025;Mandiri;44;Desa;
11;Aceh;11.03;Kabupaten Aceh Timur;2025;Sangat Tertinggal;1;Desa;
11;Aceh;11.03;Kabupaten Aceh Timur;2025;Tertinggal;23;Desa;
11;Aceh;11.08;Kabupaten Aceh Utara;2025;Berkembang;557;Desa;
11;Aceh;11.08;Kabupaten Aceh Utara;2025;Maju;168;Desa;
11;Aceh;11.08;Kabupaten Aceh Utara;2025;Mandiri;17;Desa;
11;Aceh;11.08;Kabupaten Aceh Utara;2025;Sangat Tertinggal;6;Desa;
11;Aceh;11.08;Kabupaten Aceh Utara;2025;Tertinggal;104;Desa;
11;Aceh;11.17;Kabupaten Bener Meriah;2025;Berkembang;89;Desa;
11;Aceh;11.17;Kabupaten Bener Meriah;2025;Maju;68;Desa;
11;Aceh;11.17;Kabupaten Bener Meriah;2025;Mandiri;56;Desa;
11;Aceh;11.17;Kabupaten Bener Meriah;2025;Sangat Tertinggal;1;Desa;
11;Aceh;11.17;Kabupaten Bener Meriah;2025;Tertinggal;18;Desa;
11;Aceh;11.11;Kabupaten Bireuen;2025;Berkembang;354;Desa;
11;Aceh;11.11;Kabupaten Bireuen;2025;Maju;168;Desa;
11;Aceh;11.11;Kabupaten Bireuen;2025;Mandiri;24;Desa;
11;Aceh;11.11;Kabupaten Bireuen;2025;Sangat Tertinggal;6;Desa;
11;Aceh;11.11;Kabupaten Bireuen;2025;Tertinggal;57;Desa;
11;Aceh;11.13;Kabupaten Gayo Lues;2025;Berkembang;69;Desa;
11;Aceh;11.13;Kabupaten Gayo Lues;2025;Maju;46;Desa;
11;Aceh;11.13;Kabupaten Gayo Lues;2025;Mandiri;6;Desa;
11;Aceh;11.13;Kabupaten Gayo Lues;2025;Sangat Tertinggal;0;Desa;
11;Aceh;11.13;Kabupaten Gayo Lues;2025;Tertinggal;15;Desa;
11;Aceh;11.71;Kota Banda Aceh;2025;Berkembang;1;Desa;
11;Aceh;11.71;Kota Banda Aceh;2025;Maju;6;Desa;
11;Aceh;11.71;Kota Banda Aceh;2025;Mandiri;83;Desa;
11;Aceh;11.71;Kota Banda Aceh;2025;Sangat Tertinggal;0;Desa;
11;Aceh;11.71;Kota Banda Aceh;2025;Tertinggal;0;Desa;
11;Aceh;11.74;Kota Langsa;2025;Berkembang;19;Desa;
11;Aceh;11.74;Kota Langsa;2025;Maju;29;Desa;
11;Aceh;11.74;Kota Langsa;2025;Mandiri;17;Desa;
11;Aceh;11.74;Kota Langsa;2025;Sangat Tertinggal;0;Desa;
11;Aceh;11.74;Kota Langsa;2025;Tertinggal;1;Desa;
11;Aceh;11.73;Kota Lhokseumawe;2025;Berkembang;8;Desa;
11;Aceh;11.73;Kota Lhokseumawe;2025;Maju;31;Desa;
11;Aceh;11.73;Kota Lhokseumawe;2025;Mandiri;29;Desa;
11;Aceh;11.73;Kota Lhokseumawe;2025;Sangat Tertinggal;0;Desa;
11;Aceh;11.73;Kota Lhokseumawe;2025;Tertinggal;0;Desa;
11;Aceh;11.72;Kota Sabang;2025;Berkembang;0;Desa;
